anio,Pais,edad,promedio
1997,Brazil,35-54 years,6.5
1997,Brazil,55-74 years,7.38
1997,Brazil,75+ years,10.87
1997,Bulgaria,05-14 years,1.64
1997,Bulgaria,15-24 years,9.57
1997,Bulgaria,25-34 years,10.56
1997,Bulgaria,35-54 years,17.58
1997,Bulgaria,55-74 years,29.69
1997,Bulgaria,75+ years,62.46
1997,Canada,05-14 years,1.25
1997,Canada,15-24 years,13.66
1997,Canada,25-34 years,14.38
1997,Canada,35-54 years,17.52
1997,Canada,55-74 years,13.23
1997,Canada,75+ years,12.78
1997,Chile,05-14 years,0.36
1997,Chile,15-24 years,7.83
1997,Chile,25-34 years,8.32
1997,Chile,35-54 years,8.42
1997,Chile,55-74 years,9.53
1997,Chile,75+ years,11.37
1997,Colombia,05-14 years,0.42
1997,Colombia,15-24 years,5.77
1997,Colombia,25-34 years,4.7
1997,Colombia,35-54 years,3.59
1997,Colombia,55-74 years,4.58
1997,Colombia,75+ years,5.89
1997,Costa Rica,05-14 years,0.88
1997,Costa Rica,15-24 years,8.56
1997,Costa Rica,25-34 years,7.14
1997,Costa Rica,35-54 years,5.61
1997,Costa Rica,55-74 years,8.7
1997,Costa Rica,75+ years,8.39
1997,Croatia,05-14 years,0.79
1997,Croatia,15-24 years,14.15
1997,Croatia,25-34 years,12.86
1997,Croatia,35-54 years,23.42
1997,Croatia,55-74 years,39.17
1997,Croatia,75+ years,54.4
1997,Cuba,05-14 years,0.65
1997,Cuba,15-24 years,11.04
1997,Cuba,25-34 years,15.68
1997,Cuba,35-54 years,24.29
1997,Cuba,55-74 years,34.95
1997,Cuba,75+ years,66.98
1997,Czech Republic,05-14 years,0.46
1997,Czech Republic,15-24 years,9.27
1997,Czech Republic,25-34 years,13.89
1997,Czech Republic,35-54 years,22.96
1997,Czech Republic,55-74 years,23.26
1997,Czech Republic,75+ years,36.16
1997,Denmark,05-14 years,0.5
1997,Denmark,15-24 years,9.34
1997,Denmark,25-34 years,12.4
1997,Denmark,35-54 years,17.97
1997,Denmark,55-74 years,24.6
1997,Denmark,75+ years,37.65
1997,Ecuador,05-14 years,1.37
1997,Ecuador,15-24 years,9.59
1997,Ecuador,25-34 years,7.51
1997,Ecuador,35-54 years,5.41
1997,Ecuador,55-74 years,4.42
1997,Ecuador,75+ years,4.69
1997,El Salvador,05-14 years,1.18
1997,El Salvador,15-24 years,21.57
1997,El Salvador,25-34 years,16.02
1997,El Salvador,35-54 years,12.77
1997,El Salvador,55-74 years,9.98
1997,El Salvador,75+ years,6.17
1997,Estonia,05-14 years,2.4
1997,Estonia,15-24 years,21.59
1997,Estonia,25-34 years,35.77
1997,Estonia,35-54 years,59.49
1997,Estonia,55-74 years,50.59
1997,Estonia,75+ years,50.21
1997,Finland,05-14 years,0.46
1997,Finland,15-24 years,23.42
1997,Finland,25-34 years,31.55
1997,Finland,35-54 years,38.86
1997,Finland,55-74 years,28.01
1997,Finland,75+ years,23.17
1997,France,05-14 years,0.32
1997,France,15-24 years,8.92
1997,France,25-34 years,18.03
1997,France,35-54 years,26.64
1997,France,55-74 years,24.98
1997,France,75+ years,43.54
1997,Georgia,05-14 years,0.28
1997,Georgia,15-24 years,3.39
1997,Georgia,25-34 years,3.45
1997,Georgia,35-54 years,4.3
1997,Georgia,55-74 years,7.69
1997,Georgia,75+ years,8.41
1997,Germany,05-14 years,0.39
1997,Germany,15-24 years,8.21
1997,Germany,25-34 years,12.66
1997,Germany,35-54 years,18.15
1997,Germany,55-74 years,20.44
1997,Germany,75+ years,35.13
1997,Greece,05-14 years,0.16
1997,Greece,15-24 years,3.13
1997,Greece,25-34 years,4.47
1997,Greece,35-54 years,3.89
1997,Greece,55-74 years,3.99
1997,Greece,75+ years,7.34
1997,Guatemala,05-14 years,0.2
1997,Guatemala,15-24 years,3.13
1997,Guatemala,25-34 years,2.54
1997,Guatemala,35-54 years,3.26
1997,Guatemala,55-74 years,2.05
1997,Guatemala,75+ years,1.6
1997,Guyana,05-14 years,0.59
1997,Guyana,15-24 years,5.98
1997,Guyana,25-34 years,12.58
1997,Guyana,35-54 years,6.79
1997,Guyana,55-74 years,5.65
1997,Guyana,75+ years,10.01
1997,Hungary,05-14 years,0.56
1997,Hungary,15-24 years,10.19
1997,Hungary,25-34 years,22
1997,Hungary,35-54 years,44.1
1997,Hungary,55-74 years,46.42
1997,Hungary,75+ years,89.6
1997,Iceland,05-14 years,0
1997,Iceland,15-24 years,11.79
1997,Iceland,25-34 years,9.83
1997,Iceland,35-54 years,18.12
1997,Iceland,55-74 years,23.57
1997,Iceland,75+ years,15.15
1997,Ireland,05-14 years,0.67
1997,Ireland,15-24 years,19.35
1997,Ireland,25-34 years,17.37
1997,Ireland,35-54 years,17.01
1997,Ireland,55-74 years,13.42
1997,Ireland,75+ years,8.49
1997,Israel,05-14 years,0.18
1997,Israel,15-24 years,7.22
1997,Israel,25-34 years,7.87
1997,Israel,35-54 years,7.45
1997,Israel,55-74 years,10.26
1997,Israel,75+ years,27.5
1997,Italy,05-14 years,0.2
1997,Italy,15-24 years,5.22
1997,Italy,25-34 years,7.41
1997,Italy,35-54 years,7.95
1997,Italy,55-74 years,12.6
1997,Italy,75+ years,20.03
1997,Japan,05-14 years,0.4
1997,Japan,15-24 years,8.5
1997,Japan,25-34 years,15
1997,Japan,35-54 years,22.74
1997,Japan,55-74 years,28.71
1997,Japan,75+ years,40
1997,Kazakhstan,05-14 years,2.09
1997,Kazakhstan,15-24 years,29.61
1997,Kazakhstan,25-34 years,39.71
1997,Kazakhstan,35-54 years,49.3
1997,Kazakhstan,55-74 years,45.76
1997,Kazakhstan,75+ years,33.43
1997,Kiribati,05-14 years,0
1997,Kiribati,15-24 years,14.38
1997,Kiribati,25-34 years,15.88
1997,Kiribati,35-54 years,6.82
1997,Kiribati,55-74 years,0
1997,Kiribati,75+ years,0
1997,Kuwait,05-14 years,0
1997,Kuwait,15-24 years,2.52
1997,Kuwait,25-34 years,3.68
1997,Kuwait,35-54 years,1.73
1997,Kuwait,55-74 years,1.39
1997,Kuwait,75+ years,0
1997,Kyrgyzstan,05-14 years,1.3
1997,Kyrgyzstan,15-24 years,12.35
1997,Kyrgyzstan,25-34 years,14.67
1997,Kyrgyzstan,35-54 years,19.85
1997,Kyrgyzstan,55-74 years,21.11
1997,Kyrgyzstan,75+ years,19.44
1997,Latvia,05-14 years,1.36
1997,Latvia,15-24 years,22.3
1997,Latvia,25-34 years,35.69
1997,Latvia,35-54 years,53.75
1997,Latvia,55-74 years,50.15
1997,Latvia,75+ years,53.99
1997,Lithuania,05-14 years,1.28
1997,Lithuania,15-24 years,32.2
1997,Lithuania,25-34 years,48.64
1997,Lithuania,35-54 years,80.58
1997,Lithuania,55-74 years,56.16
1997,Lithuania,75+ years,42.14
1997,Luxembourg,05-14 years,0
1997,Luxembourg,15-24 years,16.67
1997,Luxembourg,25-34 years,18.6
1997,Luxembourg,35-54 years,22.95
1997,Luxembourg,55-74 years,26.75
1997,Luxembourg,75+ years,45.64
1997,Malta,05-14 years,0
1997,Malta,15-24 years,7.1
1997,Malta,25-34 years,8.37
1997,Malta,35-54 years,3.56
1997,Malta,55-74 years,1.64
1997,Malta,75+ years,11.76
1997,Mauritius,05-14 years,1.04
1997,Mauritius,15-24 years,13.07
1997,Mauritius,25-34 years,15.97
1997,Mauritius,35-54 years,15.99
1997,Mauritius,55-74 years,12.74
1997,Mauritius,75+ years,9.3
1997,Mexico,05-14 years,0.49
1997,Mexico,15-24 years,5.69
1997,Mexico,25-34 years,5.42
1997,Mexico,35-54 years,4.52
1997,Mexico,55-74 years,4.24
1997,Mexico,75+ years,6.61
1997,Netherlands,05-14 years,0.58
1997,Netherlands,15-24 years,7.92
1997,Netherlands,25-34 years,11.43
1997,Netherlands,35-54 years,12.84
1997,Netherlands,55-74 years,12.77
1997,Netherlands,75+ years,19.34
1997,New Zealand,05-14 years,1.39
1997,New Zealand,15-24 years,26.16
1997,New Zealand,25-34 years,26.43
1997,New Zealand,35-54 years,15.78
1997,New Zealand,55-74 years,12.88
1997,New Zealand,75+ years,13.01
1997,Norway,05-14 years,0.53
1997,Norway,15-24 years,12.59
1997,Norway,25-34 years,12.19
1997,Norway,35-54 years,16.2
1997,Norway,55-74 years,16.4
1997,Norway,75+ years,17.16
1997,Panama,05-14 years,0.16
1997,Panama,15-24 years,5.7
1997,Panama,25-34 years,9.91
1997,Panama,35-54 years,7.63
1997,Panama,55-74 years,5.74
1997,Panama,75+ years,12.04
1997,Paraguay,05-14 years,0.78
