anio,Pais,edad,promedio
1996,Singapore,35-54 anios,7.54
1996,Singapore,55-74 anios,11.36
1996,Singapore,75+ anios,65.83
1996,Slovakia,05-14 anios,1.19
1996,Slovakia,15-24 anios,7.31
1996,Slovakia,25-34 anios,12.91
1996,Slovakia,35-54 anios,19.96
1996,Slovakia,55-74 anios,19.48
1996,Slovakia,75+ anios,19.31
1996,Slovenia,05-14 anios,1.56
1996,Slovenia,15-24 anios,14.1
1996,Slovenia,25-34 anios,25.89
1996,Slovenia,35-54 anios,40.75
1996,Slovenia,55-74 anios,53.62
1996,Slovenia,75+ anios,53.55
1996,South Africa,05-14 anios,0.02
1996,South Africa,15-24 anios,0.45
1996,South Africa,25-34 anios,0.49
1996,South Africa,35-54 anios,0.53
1996,South Africa,55-74 anios,0.55
1996,South Africa,75+ anios,1.44
1996,Spain,05-14 anios,0.29
1996,Spain,15-24 anios,5.48
1996,Spain,25-34 anios,8.1
1996,Spain,35-54 anios,8.64
1996,Spain,55-74 anios,13.18
1996,Spain,75+ anios,22.61
1996,Sri Lanka,05-14 anios,1.75
1996,Sri Lanka,15-24 anios,36.24
1996,Sri Lanka,25-34 anios,39.53
1996,Sri Lanka,35-54 anios,34.01
1996,Sri Lanka,55-74 anios,39.79
1996,Sri Lanka,75+ anios,45.38
1996,Suriname,05-14 anios,1.02
1996,Suriname,15-24 anios,4.99
1996,Suriname,25-34 anios,7.59
1996,Suriname,35-54 anios,7.91
1996,Suriname,55-74 anios,4.69
1996,Suriname,75+ anios,13.57
1996,Sweden,05-14 anios,0.27
1996,Sweden,15-24 anios,8.35
1996,Sweden,25-34 anios,14.83
1996,Sweden,35-54 anios,19.38
1996,Sweden,55-74 anios,19.37
1996,Sweden,75+ anios,24.04
1996,Switzerland,05-14 anios,0.48
1996,Switzerland,15-24 anios,15.29
1996,Switzerland,25-34 anios,17.53
1996,Switzerland,35-54 anios,24.63
1996,Switzerland,55-74 anios,29.56
1996,Switzerland,75+ anios,43.52
1996,Thailand,05-14 anios,0
1996,Thailand,15-24 anios,11.45
1996,Thailand,25-34 anios,12.67
1996,Thailand,35-54 anios,8.43
1996,Thailand,55-74 anios,7.42
1996,Thailand,75+ anios,5.77
1996,Trinidad and Tobago,05-14 anios,0.73
1996,Trinidad and Tobago,15-24 anios,13.3
1996,Trinidad and Tobago,25-34 anios,17.53
1996,Trinidad and Tobago,35-54 anios,16.23
1996,Trinidad and Tobago,55-74 anios,17.55
1996,Trinidad and Tobago,75+ anios,27.65
1996,Turkmenistan,05-14 anios,1.1
1996,Turkmenistan,15-24 anios,10.54
1996,Turkmenistan,25-34 anios,8.59
1996,Turkmenistan,35-54 anios,9.29
1996,Turkmenistan,55-74 anios,12.22
1996,Turkmenistan,75+ anios,10.16
1996,Ukraine,05-14 anios,1.19
1996,Ukraine,15-24 anios,16.23
1996,Ukraine,25-34 anios,30.44
1996,Ukraine,35-54 anios,45.16
1996,Ukraine,55-74 anios,44.71
1996,Ukraine,75+ anios,38.96
1996,United Kingdom,05-14 anios,0.08
1996,United Kingdom,15-24 anios,6.16
1996,United Kingdom,25-34 anios,11.15
1996,United Kingdom,35-54 anios,9.81
1996,United Kingdom,55-74 anios,7.11
1996,United Kingdom,75+ anios,8.38
1996,United States,05-14 anios,0.79
1996,United States,15-24 anios,12.03
1996,United States,25-34 anios,14.52
1996,United States,35-54 anios,15.28
1996,United States,55-74 anios,14.32
1996,United States,75+ anios,20.07
1996,Uruguay,05-14 anios,0.95
1996,Uruguay,15-24 anios,10.67
1996,Uruguay,25-34 anios,13.34
1996,Uruguay,35-54 anios,14.37
1996,Uruguay,55-74 anios,22.48
1996,Uruguay,75+ anios,25.13
1996,Uzbekistan,05-14 anios,0.82
1996,Uzbekistan,15-24 anios,8.27
1996,Uzbekistan,25-34 anios,12.34
1996,Uzbekistan,35-54 anios,15.12
1996,Uzbekistan,55-74 anios,14.05
1996,Uzbekistan,75+ anios,10.27
1997,Albania,05-14 anios,1.35
1997,Albania,15-24 anios,10.03
1997,Albania,25-34 anios,10.2
1997,Albania,35-54 anios,4.93
1997,Albania,55-74 anios,3.27
1997,Albania,75+ anios,7.41
1997,Argentina,05-14 anios,0.44
1997,Argentina,15-24 anios,5.87
1997,Argentina,25-34 anios,5.78
1997,Argentina,35-54 anios,8.31
1997,Argentina,55-74 anios,11.95
1997,Argentina,75+ anios,18
1997,Armenia,05-14 anios,0.13
1997,Armenia,15-24 anios,0.62
1997,Armenia,25-34 anios,1.74
1997,Armenia,35-54 anios,3.17
1997,Armenia,55-74 anios,5.27
1997,Armenia,75+ anios,5.01
1997,Australia,05-14 anios,0.53
1997,Australia,15-24 anios,18.74
1997,Australia,25-34 anios,22.16
1997,Australia,35-54 anios,17.84
1997,Australia,55-74 anios,13.92
1997,Australia,75+ anios,17.19
1997,Austria,05-14 anios,0.32
1997,Austria,15-24 anios,14.88
1997,Austria,25-34 anios,18.51
1997,Austria,35-54 anios,23.4
1997,Austria,55-74 anios,28.57
1997,Austria,75+ anios,46.54
1997,Azerbaijan,05-14 anios,0
1997,Azerbaijan,15-24 anios,1
1997,Azerbaijan,25-34 anios,1.89
1997,Azerbaijan,35-54 anios,2.89
1997,Azerbaijan,55-74 anios,3.15
1997,Azerbaijan,75+ anios,0
1997,Bahamas,05-14 anios,0
1997,Bahamas,15-24 anios,0
1997,Bahamas,25-34 anios,1.99
1997,Bahamas,35-54 anios,1.51
1997,Bahamas,55-74 anios,0
1997,Bahamas,75+ anios,0
1997,Bahrain,05-14 anios,0
1997,Bahrain,15-24 anios,0
1997,Bahrain,25-34 anios,0
1997,Bahrain,35-54 anios,0
1997,Bahrain,55-74 anios,0
1997,Bahrain,75+ anios,0
1997,Belarus,05-14 anios,0.63
1997,Belarus,15-24 anios,19.87
1997,Belarus,25-34 anios,39.14
1997,Belarus,35-54 anios,55.22
1997,Belarus,55-74 anios,49.8
1997,Belarus,75+ anios,33.54
1997,Belgium,05-14 anios,0.49
1997,Belgium,15-24 anios,12.44
1997,Belgium,25-34 anios,22.99
1997,Belgium,35-54 anios,29.83
1997,Belgium,55-74 anios,25.25
1997,Belgium,75+ anios,39.7
1997,Belize,05-14 anios,0
1997,Belize,15-24 anios,0
1997,Belize,25-34 anios,0
1997,Belize,35-54 anios,2.93
1997,Belize,55-74 anios,0
1997,Belize,75+ anios,0
1997,Brazil,05-14 anios,0.3
1997,Brazil,15-24 anios,4.35
1997,Brazil,25-34 anios,5.9
1997,Brazil,35-54 anios,6.5
1997,Brazil,55-74 anios,7.38
1997,Brazil,75+ anios,10.87
1997,Bulgaria,05-14 anios,1.64
1997,Bulgaria,15-24 anios,9.57
1997,Bulgaria,25-34 anios,10.56
1997,Bulgaria,35-54 anios,17.58
1997,Bulgaria,55-74 anios,29.69
1997,Bulgaria,75+ anios,62.46
1997,Canada,05-14 anios,1.25
1997,Canada,15-24 anios,13.66
1997,Canada,25-34 anios,14.38
1997,Canada,35-54 anios,17.52
1997,Canada,55-74 anios,13.23
1997,Canada,75+ anios,12.78
1997,Chile,05-14 anios,0.36
1997,Chile,15-24 anios,7.83
1997,Chile,25-34 anios,8.32
1997,Chile,35-54 anios,8.42
1997,Chile,55-74 anios,9.53
1997,Chile,75+ anios,11.37
1997,Colombia,05-14 anios,0.42
1997,Colombia,15-24 anios,5.77
1997,Colombia,25-34 anios,4.7
1997,Colombia,35-54 anios,3.59
1997,Colombia,55-74 anios,4.58
1997,Colombia,75+ anios,5.89
1997,Costa Rica,05-14 anios,0.88
1997,Costa Rica,15-24 anios,8.56
1997,Costa Rica,25-34 anios,7.14
1997,Costa Rica,35-54 anios,5.61
1997,Costa Rica,55-74 anios,8.7
1997,Costa Rica,75+ anios,8.39
1997,Croatia,05-14 anios,0.79
1997,Croatia,15-24 anios,14.15
1997,Croatia,25-34 anios,12.86
1997,Croatia,35-54 anios,23.42
1997,Croatia,55-74 anios,39.17
1997,Croatia,75+ anios,54.4
1997,Cuba,05-14 anios,0.65
1997,Cuba,15-24 anios,11.04
1997,Cuba,25-34 anios,15.68
1997,Cuba,35-54 anios,24.29
1997,Cuba,55-74 anios,34.95
1997,Cuba,75+ anios,66.98
1997,Czech Republic,05-14 anios,0.46
1997,Czech Republic,15-24 anios,9.27
1997,Czech Republic,25-34 anios,13.89
1997,Czech Republic,35-54 anios,22.96
1997,Czech Republic,55-74 anios,23.26
1997,Czech Republic,75+ anios,36.16
1997,Denmark,05-14 anios,0.5
1997,Denmark,15-24 anios,9.34
1997,Denmark,25-34 anios,12.4
1997,Denmark,35-54 anios,17.97
1997,Denmark,55-74 anios,24.6
1997,Denmark,75+ anios,37.65
1997,Ecuador,05-14 anios,1.37
1997,Ecuador,15-24 anios,9.59
1997,Ecuador,25-34 anios,7.51
1997,Ecuador,35-54 anios,5.41
1997,Ecuador,55-74 anios,4.42
1997,Ecuador,75+ anios,4.69
1997,El Salvador,05-14 anios,1.18
1997,El Salvador,15-24 anios,21.57
1997,El Salvador,25-34 anios,16.02
1997,El Salvador,35-54 anios,12.77
1997,El Salvador,55-74 anios,9.98
1997,El Salvador,75+ anios,6.17
1997,Estonia,05-14 anios,2.4
1997,Estonia,15-24 anios,21.59
1997,Estonia,25-34 anios,35.77
1997,Estonia,35-54 anios,59.49
1997,Estonia,55-74 anios,50.59
1997,Estonia,75+ anios,50.21
1997,Finland,05-14 anios,0.46
1997,Finland,15-24 anios,23.42
1997,Finland,25-34 anios,31.55
1997,Finland,35-54 anios,38.86
1997,Finland,55-74 anios,28.01
1997,Finland,75+ anios,23.17
1997,France,05-14 anios,0.32
1997,France,15-24 anios,8.92
1997,France,25-34 anios,18.03
1997,France,35-54 anios,26.64
1997,France,55-74 anios,24.98
1997,France,75+ anios,43.54
1997,Georgia,05-14 anios,0.28
1997,Georgia,15-24 anios,3.39
1997,Georgia,25-34 anios,3.45
1997,Georgia,35-54 anios,4.3
1997,Georgia,55-74 anios,7.69
1997,Georgia,75+ anios,8.41
1997,Germany,05-14 anios,0.39
1997,Germany,15-24 anios,8.21
1997,Germany,25-34 anios,12.66
1997,Germany,35-54 anios,18.15
1997,Germany,55-74 anios,20.44
1997,Germany,75+ anios,35.13
1997,Greece,05-14 anios,0.16
1997,Greece,15-24 anios,3.13
1997,Greece,25-34 anios,4.47
1997,Greece,35-54 anios,3.89
1997,Greece,55-74 anios,3.99
1997,Greece,75+ anios,7.34
1997,Guatemala,05-14 anios,0.2
1997,Guatemala,15-24 anios,3.13
1997,Guatemala,25-34 anios,2.54
1997,Guatemala,35-54 anios,3.26
1997,Guatemala,55-74 anios,2.05
1997,Guatemala,75+ anios,1.6
1997,Guyana,05-14 anios,0.59
1997,Guyana,15-24 anios,5.98
1997,Guyana,25-34 anios,12.58
1997,Guyana,35-54 anios,6.79
1997,Guyana,55-74 anios,5.65
1997,Guyana,75+ anios,10.01
1997,Hungary,05-14 anios,0.56
1997,Hungary,15-24 anios,10.19
1997,Hungary,25-34 anios,22
1997,Hungary,35-54 anios,44.1
1997,Hungary,55-74 anios,46.42
1997,Hungary,75+ anios,89.6
1997,Iceland,05-14 anios,0
1997,Iceland,15-24 anios,11.79
1997,Iceland,25-34 anios,9.83
1997,Iceland,35-54 anios,18.12
1997,Iceland,55-74 anios,23.57
1997,Iceland,75+ anios,15.15
1997,Ireland,05-14 anios,0.67
1997,Ireland,15-24 anios,19.35
1997,Ireland,25-34 anios,17.37
1997,Ireland,35-54 anios,17.01
1997,Ireland,55-74 anios,13.42
1997,Ireland,75+ anios,8.49
1997,Israel,05-14 anios,0.18
1997,Israel,15-24 anios,7.22
1997,Israel,25-34 anios,7.87
1997,Israel,35-54 anios,7.45
1997,Israel,55-74 anios,10.26
1997,Israel,75+ anios,27.5
1997,Italy,05-14 anios,0.2
1997,Italy,15-24 anios,5.22
1997,Italy,25-34 anios,7.41
1997,Italy,35-54 anios,7.95
1997,Italy,55-74 anios,12.6
1997,Italy,75+ anios,20.03
1997,Japan,05-14 anios,0.4
1997,Japan,15-24 anios,8.5
1997,Japan,25-34 anios,15
1997,Japan,35-54 anios,22.74
1997,Japan,55-74 anios,28.71
1997,Japan,75+ anios,40
1997,Kazakhstan,05-14 anios,2.09
1997,Kazakhstan,15-24 anios,29.61
1997,Kazakhstan,25-34 anios,39.71
1997,Kazakhstan,35-54 anios,49.3
1997,Kazakhstan,55-74 anios,45.76
1997,Kazakhstan,75+ anios,33.43
1997,Kiribati,05-14 anios,0
1997,Kiribati,15-24 anios,14.38
1997,Kiribati,25-34 anios,15.88
1997,Kiribati,35-54 anios,6.82
1997,Kiribati,55-74 anios,0
1997,Kiribati,75+ anios,0
1997,Kuwait,05-14 anios,0
1997,Kuwait,15-24 anios,2.52
1997,Kuwait,25-34 anios,3.68
1997,Kuwait,35-54 anios,1.73
1997,Kuwait,55-74 anios,1.39
1997,Kuwait,75+ anios,0
1997,Kyrgyzstan,05-14 anios,1.3
1997,Kyrgyzstan,15-24 anios,12.35
1997,Kyrgyzstan,25-34 anios,14.67
1997,Kyrgyzstan,35-54 anios,19.85
1997,Kyrgyzstan,55-74 anios,21.11
1997,Kyrgyzstan,75+ anios,19.44
1997,Latvia,05-14 anios,1.36
1997,Latvia,15-24 anios,22.3
1997,Latvia,25-34 anios,35.69
1997,Latvia,35-54 anios,53.75
1997,Latvia,55-74 anios,50.15
1997,Latvia,75+ anios,53.99
1997,Lithuania,05-14 anios,1.28
1997,Lithuania,15-24 anios,32.2
1997,Lithuania,25-34 anios,48.64
1997,Lithuania,35-54 anios,80.58
1997,Lithuania,55-74 anios,56.16
1997,Lithuania,75+ anios,42.14
1997,Luxembourg,05-14 anios,0
1997,Luxembourg,15-24 anios,16.67
1997,Luxembourg,25-34 anios,18.6
1997,Luxembourg,35-54 anios,22.95
1997,Luxembourg,55-74 anios,26.75
1997,Luxembourg,75+ anios,45.64
1997,Malta,05-14 anios,0
1997,Malta,15-24 anios,7.1
